hostNCBIName	hostName	hostSuperkingdom	hostPhylum	hostClass	hostOrder	hostFamily	hostGenus	hostSpecies
NC_019843.3.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_004297.0.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001802.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001722.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_002023.0.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_004718.3.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_006998.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
AC_000017.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_003977.2.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_012532.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_045512.2.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_038312.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_002728.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_006273.2.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001803.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_009333.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001348.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001798.2.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001538.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001355.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001436.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_005219.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001430.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001906.3.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_038311.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_010415.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001731.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
JX276378.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_006307.0.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001806.2.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001796.2.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001611.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_003443.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_001664.4.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_002549.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_004102.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_002204.0.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_007605.1.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
NC_004162.2.fasta	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
